Pop,Sex,SVL,TD,OD,HW,HD,HL,HdL,FbL,FtL,HbL,LbS,DS,PoPV,SL,IL,SlF3,SlT4,NS,CS
Luzon,m,114.85,3.22,8.76,17.22,14.07,32.87,21.77,55.99,38.97,90.43,57,35,2,11,12,29,32,11,7
Luzon,m,114.89,3.2,9.65,16.75,15.06,30.9,21.31,57.29,37.98,91.81,45,32,3,10,10,27,31,10,6
Luzon,m,115.69,3.61,9.65,18.55,16.18,32.88,22.04,58.55,39.64,94.42,52,31,3,11,12,26,32,10,6
Luzon,m,116.22,3.45,9.54,15.97,14.93,31.53,21.85,59.07,42.23,96.01,60,35,2,12,11,25,31,10,6
Luzon,m,117.14,4.06,9.54,17.59,15.74,34.3,22.35,58.98,42.48,96.94,48,33,2,9,11,31,35,9,6
Luzon,m,117.44,2.94,9.35,17.33,14.91,33.1,22.29,60.85,39.96,96.62,51,31,2,9,9,29,35,10,6
Luzon,m,117.57,3.12,9.24,17.4,15,33.16,22.6,60.33,39.07,93.88,55,31,2,10,10,27,34,11,6
Luzon,f,121.3,3.31,9.29,18.32,16.12,34.29,25.05,63.05,40.74,93.93,49,31,2,9,10,30,37,11,7
Luzon,m,123.69,3.62,9.92,19.06,16.54,35.89,23.47,61.39,40.87,98.14,59,28,4,9,11,26,29,10,7
Mindanao,f,70.3,2.12,6.37,10.88,9.09,20.61,13.27,35.22,26.27,58.85,51,28,5,10,9,25,31,10,5
Mindanao,f,70.43,2.49,6.16,9.99,8.52,18.9,13.52,36.49,26.15,60.69,54,32,6,10,10,25,30,10,5
Mindanao,f,70.66,2.88,6.49,11.29,9.41,20.18,13.36,34.06,25.34,58.41,50,28,6,10,10,24,28,10,6
Mindanao,f,71.82,2.29,7.17,11.3,9.39,20.28,14.66,38.02,26.94,63.86,58,30,7,9,10,26,30,11,6
Mindanao,f,72.1,2.7,6.44,10.76,8.98,19.48,14.22,37.54,26.6,62.23,44,29,5,10,10,22,29,10,6
Mindanao,f,72.63,2.16,7.29,11.3,9.32,19.88,13.08,34.02,26.1,58.88,57,37,6,9,10,23,29,11,6
Mindanao,f,73.51,2.3,6.64,10.55,9.3,20.94,14.2,38.19,27.25,64.21,54,31,6,8,9,25,29,11,5
Mindanao,f,74.81,2.58,6.59,10.91,9.57,21.75,14.94,39.46,27.61,66.72,47,31,5,8,11,25,30,10,5
Mindanao,m,74.99,2.49,6.55,11.17,9.07,21.47,14.8,38.56,28.75,63.44,52,31,5,9,10,26,28,10,5
Mindanao,f,75.31,2.39,7.51,10.46,10.17,21.52,14.83,38.98,27.37,64.27,55,31,5,9,10,27,32,9,6
Mindanao,f,76.38,3.05,7.22,11.45,10,22.78,15.47,38.25,30.27,66.95,56,30,6,9,9,28,35,11,5
Mindanao,f,76.87,2.4,6.91,11.44,10.25,21.91,14.28,38.6,27.59,64.37,51,34,6,10,10,25,30,10,6
Mindanao,f,77.36,2.38,7.14,11.53,9.57,21.7,14.98,38.59,29.09,66.63,51,31,6,9,11,27,30,10,6
Mindanao,f,77.49,2.97,7.25,11.53,10.4,23.16,14.41,40.48,25.1,63.16,49,32,6,9,10,24,32,10,6
Mindanao,f,77.57,2.54,7.35,10.64,10.13,21.28,15.44,41.18,30.01,69.41,53,30,5,9,9,28,35,10,5
Mindanao,f,77.61,2.44,6.41,10.45,9.41,20.55,15.47,39.21,27.11,62.42,48,35,6,8,10,27,33,10,7
Mindanao,f,77.91,2.36,7.17,11.5,10.31,23.68,13.35,38.85,27.98,65.55,51,32,6,7,8,24,32,11,6
Mindanao,f,78.18,2.81,7.4,11.32,10.09,22.93,15.97,40.12,30.24,67.48,58,39,6,11,12,27,33,11,6
Mindanao,f,78.26,2.72,6.49,11.44,9.78,22.1,13.51,39.67,28.95,65.72,54,32,5,7,10,24,28,10,5
Mindanao,f,78.45,3.28,6.86,11.55,10.56,22.27,13.88,38.86,28.72,67.29,53,34,5,10,11,26,36,12,6
Mindanao,f,78.7,2.46,6.56,11.42,9.46,20.84,13.6,36.24,25.96,62.69,46,30,5,10,10,24,32,9,6
Mindanao,f,78.79,2.64,7.39,12.11,10.33,22.92,15.75,39.73,28.06,63.67,47,30,6,10,10,25,29,9,6
Mindanao,f,79.43,2.71,7.5,11.5,10.25,23.81,15.15,40.52,26.5,65.73,49,33,5,9,10,28,33,10,6
Mindanao,f,79.86,2.27,7.1,10.54,10.26,22.33,15.43,41.5,28.52,68.63,52,32,5,9,10,27,30,10,6
Mindanao,f,79.96,2.82,7.45,11.52,10.22,23.18,16,43.08,31.59,70.75,52,31,6,9,10,27,36,9,6
Mindanao,f,80.31,2.74,6.8,11.75,10.24,22.4,14.22,39.46,27.94,65.68,49,33,5,9,10,25,32,10,6
Mindanao,f,80.8,2.49,6.97,11.82,9.37,21.42,14.45,39.95,29.21,67.03,51,35,5,9,12,26,35,11,6
Mindanao,f,80.82,2.72,7.39,11.98,10.71,22.89,14.59,38.68,28.17,64.05,48,31,6,9,10,23,31,12,6
Mindanao,m,80.86,2.2,7.21,11.16,10.26,21.55,14.33,40.17,28.87,68.9,54,30,6,8,10,23,28,10,5
Mindanao,m,80.88,2.31,7.19,11.64,10.59,23.58,16.55,41.11,30.07,69.81,47,29,6,9,10,27,31,9,6
Mindanao,f,81.1,2.69,7.52,12.56,10.45,23.87,14.35,40.94,29.23,68.19,49,32,5,9,10,24,27,10,6
Mindanao,m,81.16,2.95,6.99,11.83,11.22,23.31,14.96,39.82,29.22,67.25,54,37,6,10,10,25,31,11,6
Mindanao,f,81.35,2.78,7.21,11.62,10.65,23.63,15.2,41.18,28.93,68.35,56,34,6,9,10,28,32,10,6
Mindanao,f,81.47,2.92,7.92,12.96,11.61,24.31,17.43,43.54,33.43,73.88,57,31,5,9,10,25,32,11,5
Mindanao,m,81.83,2.24,7.35,11.79,10.18,22.94,14.31,39.03,27.96,65.43,51,31,6,9,10,25,29,9,6
Mindanao,f,81.84,2.94,7.36,10.92,10.18,23.48,13.32,38.53,27.83,64.45,46,33,5,9,10,24,29,10,6
Mindanao,f,81.85,3.31,6.87,11.12,9.81,22.25,13.1,37.79,28.3,67.54,58,36,6,10,10,26,33,10,6
Mindanao,f,82.62,3.05,7.53,11.85,9.65,23.7,14.1,40.46,27.17,66.35,47,32,5,9,10,23,28,10,6
Mindanao,f,82.64,3.12,6.87,11.44,10.54,23.47,14.61,40.61,27.87,66.89,46,32,5,8,10,26,32,11,5
Mindanao,f,83.28,2.42,7.27,12.13,9.97,23.18,15.14,39.73,28,67.33,49,38,6,9,11,26,30,10,6
Mindanao,f,83.48,3.99,7.65,11.81,10.66,24.64,14.75,40.06,28.43,68.86,53,35,5,9,10,26,31,12,6
Mindanao,m,83.89,3.13,8.05,13.4,11.69,23.59,15.62,40.29,31.08,72.35,57,34,7,10,11,26,32,10,6
Mindanao,f,84.22,3.3,7.14,11.38,10.38,24.05,14.75,38.3,29.21,67.97,50,34,5,10,10,27,37,10,6
Mindanao,f,84.34,3.04,7.79,11.81,10.63,23.86,16,43.54,30.93,72.36,52,30,5,9,9,25,35,11,6
Mindanao,f,84.43,3.02,7.24,11.98,10.64,24.36,14.91,40.63,30.07,69.46,45,31,5,9,10,27,33,10,6
Mindanao,m,85,2.98,7.41,12.91,10.34,24.3,14.94,40.43,27.4,66.45,58,32,5,9,10,26,29,10,6
Mindanao,f,85.17,3.35,7.75,12.62,10.2,23.7,14.5,38.63,26.02,64.62,51,35,5,10,10,27,29,12,6
Mindanao,f,85.36,2.85,7.14,11.66,10.73,23.59,14.78,39.93,29.1,66.99,47,32,5,8,9,26,30,10,6
Mindanao,f,85.37,2.97,8.51,11.79,10.33,24.44,14.22,40.5,29.68,71.71,46,32,5,8,10,26,30,9,6
Mindanao,f,85.68,2.99,7.93,12.16,10.69,25.17,16.32,45.54,29.52,72.86,52,38,6,8,8,24,30,10,6
Mindanao,f,86.13,3.31,7.82,12.44,11.05,25.83,15.37,43.14,29.67,69.4,52,31,5,11,10,27,31,11,5
Mindanao,f,86.4,3.06,8.01,12.81,11.42,23.95,13.48,39.64,28.89,66.74,49,32,5,9,9,23,32,12,5
Mindanao,f,86.59,3.8,7.67,11.44,10.23,24.04,14.71,39.72,29.31,67.97,48,37,5,11,11,28,32,11,6
Mindanao,m,86.74,2.65,7.77,11.56,11.28,24.61,16.01,42.7,31.03,70.03,52,35,7,10,10,25,31,11,5
Mindanao,f,86.91,2.54,7.75,11.41,9.89,23.36,17.91,46.79,32.59,73.73,43,35,6,11,10,29,34,12,7
Mindanao,f,87.15,3.13,7.33,12.69,11.59,26.34,15.81,41.67,29.26,69.26,48,34,6,7,9,24,29,10,6
Mindanao,f,87.21,2.97,7.83,12.44,10.97,23.45,14.52,39.13,28.97,69.22,56,39,5,10,10,27,33,10,6
Mindanao,m,87.57,3.14,7.78,12.3,11.63,24.2,14.99,43.38,30.48,73.65,52,30,6,9,11,24,28,10,5
Mindanao,f,87.88,2.86,8.13,12.87,12.04,27.05,15.35,40.26,28.58,67.18,53,32,5,8,9,25,30,10,6
Mindanao,m,88.41,2.98,7.71,12.71,11.29,24.92,15.99,41.98,29.86,70.93,57,31,6,10,11,25,31,11,6
Mindanao,m,88.89,3.11,7.91,12.72,11.6,26.58,16.66,47.33,32.03,77.02,44,31,5,8,9,27,29,10,5
Mindanao,f,88.91,2.82,7.93,13.81,12.27,26.44,16.02,43.56,30.55,70.6,59,29,6,9,9,25,29,11,6
Mindanao,f,89.09,3.11,8.14,13.11,11.73,25.25,15.76,42.09,31.7,71.67,52,33,5,8,10,27,31,10,5
Mindanao,m,89.42,3.17,7.46,13.3,11.64,26.48,17.02,45.46,31.14,73.61,54,32,6,10,10,25,29,12,5
Mindanao,m,90.34,3.28,8.6,13.33,11.57,26.72,16.16,43.93,30.41,74.04,50,34,6,11,11,25,30,10,6
Mindanao,m,90.6,3.08,7.83,13.21,11.3,25.22,15.6,42.26,31.81,74.35,54,33,6,10,10,25,30,12,5
Mindanao,f,91.21,3.9,8.06,13.48,12.01,26.94,16.07,43.91,32.78,75.2,47,33,5,11,12,24,31,11,6
Mindanao,m,91.22,3.03,8.25,13.58,11.52,25.65,16.24,42.95,30.71,71.98,56,32,5,9,10,24,30,11,5
Mindanao,f,93.38,3.51,8,13.55,12.53,27.25,14.64,43.41,31.1,69.9,52,32,6,10,10,25,30,11,6
Mindanao,m,93.76,3.33,7.99,12.53,11.54,26.57,15.44,44.74,30.33,74.02,60,31,7,8,11,24,31,10,7
Mindanao,m,95.43,3.5,8.11,13.4,12.31,27.4,15.62,42.11,28.9,70.45,52,32,5,9,11,27,33,9,6
Mindanao,m,102.26,4.05,8.37,17.47,15.18,31.75,17.34,48.34,35.49,82.51,65,32,7,9,9,25,33,11,6
Palawan,m,74.44,2.52,6.85,10.35,9.61,20.61,15.06,40.2,28.12,66.55,60,33,7,9,11,25,30,9,6
Palawan,f,75.74,2.53,6.72,11.14,9.84,20.16,12.7,36.4,27.71,65.88,60,35,7,8,8,26,33,9,6
Palawan,f,80.01,2.98,7.12,11.35,9.85,21.5,15.17,41.39,27.9,66.59,54,36,7,10,10,26,31,9,5
Palawan,f,80.87,2.66,7.16,11.43,10.47,23.03,15,43.5,28.8,69.12,49,38,8,9,9,25,32,10,5
Palawan,f,83.56,2.9,7.07,12.15,10.56,23.73,14.66,41.62,30.51,73.24,51,42,6,9,9,26,32,9,5
Palawan,m,83.81,2.9,7.38,11.28,10.31,22.87,15.05,41.58,31.87,73.18,47,34,5,9,10,27,32,9,6
Palawan,f,84.48,2.88,7.24,12.39,10.59,23.16,14.11,41.48,29.39,68.85,52,32,4,10,9,25,31,9,6
Palawan,f,86.29,2.93,7.37,12.3,11.26,24.02,14.26,41.19,29.37,71.35,50,36,7,9,10,25,30,9,6
Palawan,f,88.61,2.78,7.16,12.55,11.17,23.8,16.66,43.91,29.53,71.46,47,36,6,9,9,26,34,10,6
Palawan,m,90.05,2.74,7.09,13.69,12.23,24.29,16,45.53,34.04,80.36,50,33,6,9,10,26,31,9,6
Palawan,m,90.42,2.7,7.38,12,12.63,24.52,16.32,45.02,32.39,76.94,43,37,6,9,8,23,28,9,6
Palawan,f,90.82,2.96,7.05,12.89,11.52,24.97,15.13,43.29,32.91,77.32,46,38,6,9,10,23,29,10,6
Palawan,f,91.5,3.3,8.09,13.05,12.52,27.37,16.61,44.4,29.62,74.39,49,30,6,9,9,25,28,9,5
Palawan,m,92.5,2.73,8.03,15.16,12.51,26.76,15.62,45.56,32.42,77.59,49,35,6,9,10,29,33,10,5
Palawan,m,92.71,3.42,7.93,11.92,11.31,25.12,18.65,49.82,35.16,80.23,48,36,7,10,10,25,31,10,6
Palawan,m,93,3.13,7.21,13.7,11.4,26.09,17.81,48.75,34.53,81.72,47,37,5,9,8,23,31,11,6
Palawan,m,94,2.7,8.07,13.64,12.67,26.41,15.06,45.65,32.53,82.23,51,32,5,9,9,26,31,8,6
Palawan,f,94.28,3.05,6.95,12.91,12.22,24.91,13.03,41.83,28.52,72.27,44,36,5,10,10,25,28,10,6
Palawan,f,94.36,2.97,7.21,14.34,12.55,26.68,15.96,47.42,33.83,82.81,54,36,7,8,9,27,33,10,5
Palawan,m,94.52,2.93,7.81,14.04,12.51,27.14,15.88,46.38,34.05,83.66,57,34,7,10,9,26,32,10,5
Palawan,m,95.94,3.68,8.19,16.15,13.24,28.9,16.63,50.27,34.71,81.31,52,33,7,9,8,26,30,9,6
Palawan,m,95.98,2.8,7.77,15.22,12.76,26.53,18.77,50.98,35.3,84.92,58,34,8,9,9,28,33,9,5
